Epoch, Log-likelihood, Accuracy, RMSE
1,  0.05468,  1.00000,  0.54293
2,  0.38881,  1.00000,  0.66827
3,  0.65848,  1.00000,  0.79559
4,  0.89140,  1.00000,  0.92986
5,  1.12066,  1.00000,  1.12617
6,  1.32656,  1.00000,  1.27300
7,  1.49992,  1.00000,  1.33537
8,  1.65740,  1.00000,  1.26395
9,  1.79795,  1.00000,  1.09562
10,  1.93297,  1.00000,  0.83190
11,  1.99634,  1.00000,  0.71230
12,  2.05357,  1.00000,  0.64010
13,  2.10549,  1.00000,  0.57952
14,  2.15505,  1.00000,  0.53282
15,  2.20198,  1.00000,  0.51461
16,  2.24640,  1.00000,  0.52235
17,  2.28661,  1.00000,  0.52024
18,  2.32285,  1.00000,  0.48655
19,  2.35746,  1.00000,  0.44563
20,  2.39016,  1.00000,  0.41704
21,  2.40569,  1.00000,  0.40648
22,  2.42063,  1.00000,  0.39942
23,  2.43503,  1.00000,  0.39316
24,  2.44897,  1.00000,  0.38679
25,  2.46255,  1.00000,  0.38044
26,  2.47591,  1.00000,  0.37314
27,  2.48925,  1.00000,  0.36500
28,  2.50275,  1.00000,  0.35663
29,  2.51648,  1.00000,  0.35015
30,  2.53029,  1.00000,  0.34702
31,  2.53711,  1.00000,  0.34544
32,  2.54381,  1.00000,  0.34431
33,  2.55039,  1.00000,  0.34320
34,  2.55687,  1.00000,  0.34144
35,  2.56329,  1.00000,  0.33917
36,  2.56965,  1.00000,  0.33677
37,  2.57591,  1.00000,  0.33458
38,  2.58206,  1.00000,  0.33335
39,  2.58808,  1.00000,  0.33247
40,  2.59402,  1.00000,  0.33159
41,  2.59697,  1.00000,  0.33130
42,  2.59990,  1.00000,  0.33113
43,  2.60283,  1.00000,  0.33070
44,  2.60574,  1.00000,  0.33044
45,  2.60865,  1.00000,  0.32988
46,  2.61156,  1.00000,  0.32930
47,  2.61446,  1.00000,  0.32869
48,  2.61735,  1.00000,  0.32794
49,  2.62025,  1.00000,  0.32748
50,  2.62314,  1.00000,  0.32712
